date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:11:05	61223/61223	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202013%2013:21:19%20GMT	http://srinubasava.com/wb/slick/	C:/wamp/www/templates/Wrap%20Admin/srinubasava.com/wb/slick/index.html	(from )
11:11:05	1490/1490	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Oct%202013%2013:21:19%20GMT	http://srinubasava.com/robots.txt		(from )
11:11:06	2444/2444	---M-Z	200	added ('OK')	application/javascript	etag:%2298c-4e78b0dfc487e-gzip%22	http://srinubasava.com/wb/slick/js/html5-trunk.js	C:/wamp/www/templates/Wrap%20Admin/srinubasava.com/wb/slick/js/html5-trunk.js	(from http://srinubasava.com/wb/slick/)
11:11:07	33228/33228	---M-Z	200	added ('OK')	text/css	etag:%2281cc-4e78b13b1e71c-gzip%22	http://srinubasava.com/wb/slick/icomoon/style.css	C:/wamp/www/templates/Wrap%20Admin/srinubasava.com/wb/slick/icomoon/style.css	(from http://srinubasava.com/wb/slick/)
11:11:08	119268/119268	---M-Z	200	added ('OK')	text/css	etag:%221d1e4-4e78b16008b46-gzip%22	http://srinubasava.com/wb/slick/css/bootstrap.css	C:/wamp/www/templates/Wrap%20Admin/srinubasava.com/wb/slick/css/bootstrap.css	(from http://srinubasava.com/wb/slick/)
11:11:09	41274/41274	---M-Z	200	added ('OK')	text/css	etag:%22a13a-4e79605ee54e1-gzip%22	http://srinubasava.com/wb/slick/css/main.css	C:/wamp/www/templates/Wrap%20Admin/srinubasava.com/wb/slick/css/main.css	(from http://srinubasava.com/wb/slick/)
11:11:10	61223/61223	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202013%2013:21:24%20GMT	http://srinubasava.com/wb/slick/index.html	C:/wamp/www/templates/Wrap%20Admin/srinubasava.com/wb/slick/index-2.html	(from http://srinubasava.com/wb/slick/)
11:11:11	54439/54439	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202013%2013:21:25%20GMT	http://srinubasava.com/wb/slick/ui-elements.html	C:/wamp/www/templates/Wrap%20Admin/srinubasava.com/wb/slick/ui-elements.html	(from http://srinubasava.com/wb/slick/)
11:11:11	34465/34465	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202013%2013:21:26%20GMT	http://srinubasava.com/wb/slick/forms.html	C:/wamp/www/templates/Wrap%20Admin/srinubasava.com/wb/slick/forms.html	(from http://srinubasava.com/wb/slick/)
11:11:12	16440/16440	---M-Z	200	added ('OK')	text/html	date:Wed,%2023%20Oct%202013%2013:21:26%20GMT	http://srinubasava.com/wb/slick/charts.html	C:/wamp/www/templates/Wrap%20Admin/srinubasava.com/wb/slick/charts.html	(from http://srinubasava.com/wb/slick/)
